Item Number,Price,Brand,Processor,Screen Size,Color,Ram Size,SSD Capacity,GPU,Processor Speed,Type,Maximum Resolution,Model,OS,Hard Drive Capacity,Storage Type,Features,Condition
85264984098,199.99,Dell,i5-7300HQ,15.6 in,Black,8.0 GB,256 GB,NVIDIA GeForce GTX 1050 Ti,2.5GHz,Notebook/Laptop,1920 x 1080,Dell Inspiron 15 7000,Windows 10 Home,Unknown,SSD (Solid State Drive),"10/100 LAN Card, Bluetooth, Built-in Microphone, Built-in Webcam, Wi-Fi","UsedAn item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab"
85264984100,187.93,Chunghwa,Intel Celeron N,14.1 in,Gray,8.0 GB,1 TB(not in),Intel UHD Graphics 600,2.60 GHz,Notebook/Laptop,1920 x 1080,HeroBook Pro,Windows 11 Home,256 GB,SSD (Solid State Drive),"Built-in Microphone,  Built-in Webcam","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ...  Read moreabout the conditionNew: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. See all condition definitionsopens in a new window or tab "
85264984102,94.99,Dell,Intel Celeron,11.6 in,Multicolor,4.0 GB,32GB,Intel HD Graphics,2.48 GHz,Convertible 2-in-1 Laptop/Tablet,1366 x 768,Dell Chromebook 3189,Chrome OS,32 GB,eMMC,"Bluetooth, Built-in Microphone, Built-in Webcam, Touchscreen, Wi-Fi, Tablet PC","Good - RefurbishedThe item shows moderate wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished, inspected and cleaned to good condition by qualified sellers. The item includes original or new accessories and will come in a new generic packaging. See the seller's listing for full details. See all condition definitionsopens in a new window or tab"
85264984104,369.95,HP,Intel Core i5 11th Gen.,15.6 in,Silver,8.0 GB,256 GB,Intel Iris Xe Graphics,2.40 GHz,Notebook/Laptop,1920 x 1080,15-dy2795wm,‎Windows 11 Home,256 GB,SSD (Solid State Drive),"Bluetooth, Built-in Webcam, Built-in Microphone","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ...  Read moreabout the conditionNew: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. See all condition definitionsopens in a new window or tab "
85264984105,79.99,Dell,Intel i5,14.1 in,Black,4.0 GB,0,Intel HD Graphics,2.50 GHz,Notebook/Laptop,1024 x 768,Latitude E6420/6430,Windows XP,160 GB,HDD (Hard Disk Drive),"10/100 LAN Card,  Multi-Touch Trackpad,  Optical Drive,  Rugged,  Wi-Fi","UsedAn item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab"
85264984108,399,Acer,Intel Celeron N4500,15.6 in,Pure Silver,20.0 GB,1 TB,Intel UHD Graphics,1.10 GHz,Notebook/Laptop,1920 x 1080,Acer Aspire 1,Windows 11 Home,1 TB,SSD (Solid State Drive),"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Multi-Touch Trackpad,  Wi-Fi","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ...  Read moreabout the conditionNew: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. See all condition definitionsopens in a new window or tab "
85264984110,59.95,HP,Intel Celeron N,11.6 in,Black,4.0 GB,16 GB,Intel HD Graphics,2.16 GHz,Notebook/Laptop,1366 x 768,HP Chromebook 11 G4,Chrome OS,16 GB,eMMC,"Bluetooth, Built-in Microphone, Built-in Webcam, Wi-Fi","Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ...  Read moreabout the conditionUsed: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab "
85264984111,99.99,Lenovo,Intel Celeron N,11.6 in,Black,4.0 GB,128 GB,Intel HD Graphics,1.60 GHz,Notebook/Laptop,1366 x 768,Lenovo Thinkpad Yoga 11e,Windows 10 Pro,128 GB,SSD (Solid State Drive),"Bluetooth, Built-in Microphone, Built-in Webcam, Convertible 2-in-1 Laptop/Tablet, Touchscreen, Wi-Fi","UsedAn item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab"
85264984112,599,HP,Intel Core i5 6300U,14.0 in,Silver,8.0 GB,128 GB,Intel HD Graphics 520,2.40 GHz,Notebook/Laptop,1920 x 1080,HP Elitebook 840,Not Included,Unknown,SSD (Solid State Drive),"Backlit Keyboard,  Bluetooth,  Built-in Microphone,  Built-in Webcam","Very Good - RefurbishedThe item shows minimal wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished,  inspected and cleaned to very good condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details. See all condition definitionsopens in a new window or tab"
85264984118,369,Dell,Intel Core i5 8th Gen.,14.0 in,Black,16.0 GB,512 GB,Intel UHD Graphics 620,3.60 GHz (1.70 GHz Base Frequency),Notebook/Laptop,1366x768,Dell Latitude 5490 7490,Windows 11 Pro,512 GB,SSD (Solid State Drive),"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, LTE, Multi-Touch Trackpad, Widescreen Display, Wi-Fi","Very Good - RefurbishedThe item shows minimal wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished,  inspected and cleaned to very good condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details. See all condition definitionsopens in a new window or tab"
